09_08_2022	Number of Student 30	09_08_2022    12:34:50
1HK21CS001	Present	
1HK21CS002	Present	
1HK21CS003	Present	
1HK21CS004	Present	
1HK21CS005	Present	
1HK21CS006	Present	
1HK21CS007	Present	
1HK21CS008	Present	
1HK21CS009	Present	
1HK21CS010	Present	
1HK21CS011	Present	
1HK21CS012	Present	
1HK21CS013	Present	
1HK21CS014	Present	
1HK21CS015	Present	
1HK21CS016	Present	
1HK21CS017	Present	
1HK21CS018	Present	
1HK21CS019	Present	
1HK21CS020	Present	
1HK21CS021	Present	
1HK21CS022	Present	
1HK21CS023	Present	
1HK21CS024	Present	
1HK21CS025	Present	
1HK21CS026	Present	
1HK21CS027	Present	
1HK21CS028	Present	
1HK21CS029	Present	
1HK21CS030	Present	
