09_08_2022	Number of Student 30	09_08_2022    12:35:22
1HK21CS031	Present	
1HK21CS032	Present	
1HK21CS033	Present	
1HK21CS034	Present	
1HK21CS035	Present	
1HK21CS036	Present	
1HK21CS037	Present	
1HK21CS038	Present	
1HK21CS039	Present	
1HK21CS040	Present	
1HK21CS041	Present	
1HK21CS042	Present	
1HK21CS043	Present	
1HK21CS044	Present	
1HK21CS045	Present	
1HK21CS046	Present	
1HK21CS047	Present	
1HK21CS048	Present	
1HK21CS049	Present	
1HK21CS050	Present	
1HK21CS051	Present	
1HK21CS052	Present	
1HK21CS053	Present	
1HK21CS054	Present	
1HK21CS055	Present	
1HK21CS056	Present	
1HK21CS057	Present	
1HK21CS058	Present	
1HK21CS059	Present	
1HK21CS060	Present	
