09_08_2022	Number of Student 30	09_08_2022    12:35:56
1HK21CS061	Present	
1HK21CS062	Present	
1HK21CS063	Present	
1HK21CS064	Present	
1HK21CS065	Present	
1HK21CS066	Present	
1HK21CS067	Present	
1HK21CS068	Present	
1HK21CS069	Present	
1HK21CS070	Present	
1HK21CS071	Present	
1HK21CS072	Present	
1HK21CS073	Present	
1HK21CS074	Present	
1HK21CS075	Present	
1HK21CS076	Present	
1HK21CS077	Present	
1HK21CS078	Present	
1HK21CS079	Present	
1HK21CS080	Present	
1HK21CS081	Present	
1HK21CS082	Present	
1HK21CS083	Present	
1HK21CS084	Present	
1HK21CS085	Present	
1HK21CS086	Present	
1HK21CS087	Present	
1HK21CS088	Present	
1HK21CS089	Present	
1HK21CS090	Present	
