09_08_2022	Number of Student 30	09_08_2022    12:36:44
1HK20CS001	Present	
1HK20CS002	Present	
1HK20CS003	Present	
1HK20CS004	Present	
1HK20CS005	Present	
1HK20CS006	Present	
1HK20CS007	Present	
1HK20CS008	Present	
1HK20CS009	Present	
1HK20CS010	Absent	
1HK20CS011	Absent	
1HK20CS012	Absent	
1HK20CS013	Absent	
1HK20CS014	Absent	
1HK20CS015	Absent	
1HK20CS016	Absent	
1HK20CS017	Absent	
1HK20CS018	Absent	
1HK20CS019	Absent	
1HK20CS020	Absent	
1HK20CS021	Absent	
1HK20CS022	Present	
1HK20CS023	Present	
1HK20CS024	Present	
1HK20CS025	Absent	
1HK20CS026	Absent	
1HK20CS027	Absent	
1HK20CS028	Absent	
1HK20CS029	Absent	
1HK20CS030	Absent	
