09_08_2022	Number of Student 30	09_08_2022    15:04:20
1HK19CS001	Present	
1HK19CS002	Present	
1HK19CS003	Present	
1HK19CS004	Present	
1HK19CS005	Present	
1HK19CS006	Present	
1HK19CS007	Present	
1HK19CS008	Present	
1HK19CS009	Present	
1HK19CS010	Present	
1HK19CS011	Present	
1HK19CS012	Present	
1HK19CS013	Present	
1HK19CS014	Present	
1HK19CS015	Present	
1HK19CS016	Present	
1HK19CS017	Present	
1HK19CS018	Present	
1HK19CS019	Present	
1HK19CS020	Present	
1HK19CS021	Present	
1HK19CS022	Present	
1HK19CS023	Present	
1HK19CS024	Present	
1HK19CS025	Present	
1HK19CS026	Present	
1HK19CS027	Present	
1HK19CS028	Present	
1HK19CS029	Present	
1HK19CS030	Present	
