10_08_2022	Number of Student 30	10_08_2022    19:07:36
1HK19CS031	Present	
1HK19CS032	Present	
1HK19CS033	Present	
1HK19CS034	Present	
1HK19CS035	Present	
1HK19CS036	Present	
1HK19CS037	Present	
1HK19CS038	Present	
1HK19CS039	Present	
1HK19CS040	Present	
1HK19CS041	Present	
1HK19CS042	Present	
1HK19CS043	Present	
1HK19CS044	Present	
1HK19CS045	Present	
1HK19CS046	Present	
1HK19CS047	Present	
1HK19CS048	Present	
1HK19CS049	Present	
1HK19CS050	Present	
1HK19CS051	Present	
1HK19CS052	Present	
1HK19CS053	Present	
1HK19CS054	Present	
1HK19CS055	Present	
1HK19CS056	Present	
1HK19CS057	Present	
1HK19CS058	Present	
1HK19CS059	Present	
1HK19CS060	Present	
