09_08_2022	Number of Student 30	09_08_2022    12:22:53
1HK18CS031	Present	
1HK18CS032	Present	
1HK18CS033	Present	
1HK18CS034	Present	
1HK18CS035	Present	
1HK18CS036	Present	
1HK18CS037	Present	
1HK18CS038	Present	
1HK18CS039	Present	
1HK18CS040	Present	
1HK18CS041	Present	
1HK18CS042	Present	
1HK18CS043	Present	
1HK18CS044	Present	
1HK18CS045	Present	
1HK18CS046	Present	
1HK18CS047	Present	
1HK18CS048	Present	
1HK18CS049	Present	
1HK18CS050	Present	
1HK18CS051	Present	
1HK18CS052	Present	
1HK18CS053	Present	
1HK18CS054	Present	
1HK18CS055	Present	
1HK18CS056	Present	
1HK18CS057	Present	
1HK18CS058	Present	
1HK18CS059	Present	
1HK18CS060	Present	
