09_08_2022	Number of Student 30	09_08_2022    15:01:54
1HK18CS061	Absent	
1HK18CS062	Absent	
1HK18CS063	Absent	
1HK18CS064	Absent	
1HK18CS065	Absent	
1HK18CS066	Absent	
1HK18CS067	Absent	
1HK18CS068	Absent	
1HK18CS069	Absent	
1HK18CS070	Absent	
1HK18CS071	Absent	
1HK18CS072	Absent	
1HK18CS073	Absent	
1HK18CS074	Absent	
1HK18CS075	Absent	
1HK18CS076	Absent	
1HK18CS077	Absent	
1HK18CS078	Absent	
1HK18CS079	Absent	
1HK18CS080	Absent	
1HK18CS081	Absent	
1HK18CS082	Absent	
1HK18CS083	Absent	
1HK18CS084	Absent	
1HK18CS085	Absent	
1HK18CS086	Absent	
1HK18CS087	Absent	
1HK18CS088	Absent	
1HK18CS089	Absent	
1HK18CS090	Absent	
